Date,Miner Revenue
2010-10-11,8900
2010-10-12,7950.00000109
2010-10-13,7750
2010-10-14,8800.35
2010-10-15,10250
2010-10-16,8850
2010-10-17,12900
2010-10-18,13500
2010-10-19,12450.02
2010-10-20,12800
2010-10-21,13200
2010-10-22,9300.00776615
2010-10-23,7700
2010-10-24,8750.05
2010-10-25,10250
2010-10-26,10150
2010-10-27,12050
2010-10-28,10650
2010-10-29,10950
2010-10-30,11150
2010-10-31,12600
2010-11-01,8950
2010-11-02,8850
2010-11-03,8800
2010-11-04,9500
2010-11-05,10050
2010-11-06,10950
2010-11-07,10900
2010-11-08,12050
2010-11-09,13750.83
2010-11-10,10850
2010-11-11,10150
2010-11-12,10950
2010-11-13,8450
2010-11-14,11150
2010-11-15,12800
2010-11-16,10000.48
2010-11-17,9850
2010-11-18,12350
2010-11-19,12850
2010-11-20,7500.1
2010-11-21,5801.04
2010-11-22,7000.98
2010-11-23,8150.58
2010-11-24,7000.53
2010-11-25,8850.12
2010-11-26,9050
2010-11-27,9700.37
2010-11-28,9000.02
2010-11-29,8600
2010-11-30,10450.03
2010-12-01,10100.01
2010-12-02,9400.04
2010-12-03,9400.06
2010-12-04,9450.01
2010-12-05,11450.01090727
2010-12-06,11950.04
2010-12-07,12050.04518713
2010-12-08,11950.07214637
2010-12-09,11900.04
2010-12-10,11150.03727261
2010-12-11,7350.07
2010-12-12,8750.11724798
2010-12-13,8550.14857412
2010-12-14,7050.31147648
2010-12-15,8550.04892339
2010-12-16,9800.06743052
2010-12-17,8650.10356946
2010-12-18,8300.23443294
2010-12-19,8050.06653564
2010-12-20,9200.11564519
2010-12-21,7950.06699317
2010-12-22,9800.15
2010-12-23,7850.13743052
2010-12-24,7250.06
2010-12-25,7400.07829328
2010-12-26,8400.06743052
2010-12-27,7250.09564519
2010-12-28,8300.08664517
2010-12-29,8450.09339267
2010-12-30,8250.14752729
2010-12-31,8450.0806039
2011-01-01,8100.02335061
2011-01-02,9050.08915258
2011-01-03,8750.08767732
2011-01-04,7800.72825402
2011-01-05,7050.03767732
2011-01-06,7700.08648973
2011-01-07,7050.09308601
2011-01-08,8200.04352512
2011-01-09,8500.01765433
2011-01-10,8150.15
2011-01-11,8100.05884469
2011-01-12,8600.05212907
2011-01-13,8350.28
2011-01-14,9400.02493887
2011-01-15,9050.06493887
2011-01-16,7850.10493887
2011-01-17,8700.0862786
2011-01-18,9050.1580748
2011-01-19,7050.05768351
2011-01-20,8450.05
2011-01-21,9300.09736667
2011-01-22,8750.05048576
2011-01-23,8200.46923415
2011-01-24,8500.35905919
2011-01-25,9400.24
2011-01-26,7800.11905919
2011-01-27,9000.51
2011-01-28,8000.19
2011-01-29,7900.11
2011-01-30,8050.39195608
2011-01-31,7802.82108788
2011-02-01,8500.78108788
2011-02-02,8200.77
2011-02-03,7900.05817975
2011-02-04,8000.16000999
2011-02-05,9700.12359852
2011-02-06,8950.17826263
2011-02-07,8850.10112588
2011-02-08,10150.31547204
2011-02-09,8400.17736992
2011-02-10,9600.06551728
2011-02-11,9300.88294408
2011-02-12,9300.48910687
2011-02-13,9800.74186934
2011-02-14,9900.25
2011-02-15,9802.73
2011-02-16,11250.24346193
2011-02-17,11600.59
2011-02-18,11550.13346193
2011-02-19,10600.52
2011-02-20,8050.54
2011-02-21,9900.5
2011-02-22,9700.11
2011-02-23,10550.25546822
2011-02-24,12150.40785377
2011-02-25,10350.13769472
2011-02-26,11250.46097152
2011-02-27,13800.50049575
2011-02-28,12201.09
2011-03-01,7500.60445377
2011-03-02,6500.33085377
2011-03-03,8400.4578
2011-03-04,9307.0163
2011-03-05,11050.7108
2011-03-06,13852.47320002
2011-03-07,13705.2014
2011-03-08,10555.92707488
2011-03-09,9354.05000002
2011-03-10,8003.17779297
2011-03-11,5503.18833744
2011-03-12,6505.61222915
2011-03-13,7001.53693618
2011-03-14,5851.89539295
2011-03-15,5601.80522325
2011-03-16,5601.66139999
2011-03-17,6801.8
2011-03-18,7051.36939294
2011-03-19,6001.40139999
2011-03-20,5751.18779295
2011-03-21,6852.5170787
2011-03-22,7409.24789295
2011-03-23,5961.0502
2011-03-24,7866.9935627
2011-03-25,7608.41023194
2011-03-26,8655.1827
2011-03-27,6904.4501
2011-03-28,7156.4002327
2011-03-29,8404.3
