Date,Velocity of Money
2010-04-01,0.312076
2010-04-02,0.311511
2010-04-03,0.310922
2010-04-04,0.310603
2010-04-05,0.310927
2010-04-06,0.313944
2010-04-07,0.315018
2010-04-08,0.316014
2010-04-09,0.316355
2010-04-10,0.326757
2010-04-11,0.331071
2010-04-12,0.33584
2010-04-13,0.34547
2010-04-14,0.345007
2010-04-15,0.368171
2010-04-16,0.389071
2010-04-17,0.392559
2010-04-18,0.392525
2010-04-19,0.405299
2010-04-20,0.412424
2010-04-21,0.41415
2010-04-22,0.415502
2010-04-23,0.422496
2010-04-24,0.422775
2010-04-25,0.425917
2010-04-26,0.430647
2010-04-27,0.4355
2010-04-28,0.435318
2010-04-29,0.437371
2010-04-30,0.437506
2010-05-01,0.459117
2010-05-02,0.459561
2010-05-03,0.459556
2010-05-04,0.46174
2010-05-05,0.465541
2010-05-06,0.471184
2010-05-07,0.475816
2010-05-08,0.487272
2010-05-09,0.491835
2010-05-10,0.494302
2010-05-11,0.496199
2010-05-12,0.495909
2010-05-13,0.50259
2010-05-14,0.505278
2010-05-15,0.509739
2010-05-16,0.509866
2010-05-17,0.509709
2010-05-18,0.512229
2010-05-19,0.515465
2010-05-20,0.517969
2010-05-21,0.517767
2010-05-22,0.529865
2010-05-23,0.543845
2010-05-24,0.549412
2010-05-25,0.549774
2010-05-26,0.550407
2010-05-27,0.554103
2010-05-28,0.5573
2010-05-29,0.565233
2010-05-30,0.577672
2010-05-31,0.57805
2010-06-01,0.579361
2010-06-02,0.579983
2010-06-03,0.581113
2010-06-04,0.582974
2010-06-05,0.592568
2010-06-06,0.593325
2010-06-07,0.594703
2010-06-08,0.602219
2010-06-09,0.606714
2010-06-10,0.626062
2010-06-11,0.634934
2010-06-12,0.636602
2010-06-13,0.639847
2010-06-14,0.642806
2010-06-15,0.655176
2010-06-16,0.664989
2010-06-17,0.672769
2010-06-18,0.678261
2010-06-19,0.680356
2010-06-20,0.69765
2010-06-21,0.704276
2010-06-22,0.714825
2010-06-23,0.722465
2010-06-24,0.732669
2010-06-25,0.740949
2010-06-26,0.74497
2010-06-27,0.761857
2010-06-28,0.763914
2010-06-29,0.777521
2010-06-30,0.787364
2010-07-01,0.801974
2010-07-02,0.807946
2010-07-03,0.840528
2010-07-04,0.84742
2010-07-05,0.850973
2010-07-06,0.865045
2010-07-07,0.868825
2010-07-08,0.882645
2010-07-09,0.88499
2010-07-10,0.885839
2010-07-11,0.889429
2010-07-12,0.907431
2010-07-13,1.67848
2010-07-14,1.75205
2010-07-15,1.83137
2010-07-16,1.83986
2010-07-17,1.84428
2010-07-18,1.85198
2010-07-19,1.85299
2010-07-20,1.86121
2010-07-21,1.86366
2010-07-22,1.8659
2010-07-23,1.87232
2010-07-24,1.87317
2010-07-25,1.88052
2010-07-26,1.88766
2010-07-27,1.90582
2010-07-28,1.91082
2010-07-29,1.92515
2010-07-30,1.92579
2010-07-31,1.92632
2010-08-01,1.92517
2010-08-02,1.99415
2010-08-03,2.00511
2010-08-04,2.01054
2010-08-05,2.01256
2010-08-06,2.01779
2010-08-07,2.01929
2010-08-08,2.01996
2010-08-09,2.01725
2010-08-10,2.03312
2010-08-11,2.03705
2010-08-12,2.0457
2010-08-13,2.04505
2010-08-14,2.04724
2010-08-15,2.0439
2010-08-16,2.04396
2010-08-17,2.05786
2010-08-18,2.06719
2010-08-19,2.07336
2010-08-20,2.07503
2010-08-21,2.0776
2010-08-22,2.08316
2010-08-23,2.08261
2010-08-24,2.0815
2010-08-25,2.08119
2010-08-26,2.07944
2010-08-27,2.07684
2010-08-28,2.07967
2010-08-29,2.07938
2010-08-30,2.07739
2010-08-31,2.07684
2010-09-01,2.08228
2010-09-02,2.08551
2010-09-03,2.09013
2010-09-04,2.09321
2010-09-05,2.09701
2010-09-06,2.12667
2010-09-07,2.14168
2010-09-08,2.14186
2010-09-09,2.14181
2010-09-10,2.14684
2010-09-11,2.14561
2010-09-12,2.14381
2010-09-13,2.14369
2010-09-14,2.16856
2010-09-15,2.17068
2010-09-16,2.17608
2010-09-17,2.17868
2010-09-18,2.19056
2010-09-19,2.19495
2010-09-20,2.20202
2010-09-21,2.20671
2010-09-22,2.20882
2010-09-23,2.21455
2010-09-24,2.23939
2010-09-25,2.23769
2010-09-26,2.23901
2010-09-27,2.23868
2010-09-28,2.24087
2010-09-29,2.25457
2010-09-30,2.2724
2010-10-01,2.28514
2010-10-02,2.28808
2010-10-03,2.37872
2010-10-04,2.38733
2010-10-05,2.51689
2010-10-06,2.55873
2010-10-07,2.58215
2010-10-08,2.6076
2010-10-09,2.63924
2010-10-10,2.67834
2010-10-11,2.70125
2010-10-12,2.71332
2010-10-13,2.72092
2010-10-14,2.74281
2010-10-15,2.77729
2010-10-16,2.80586
2010-10-17,2.84171
2010-10-18,2.85777
2010-10-19,2.89994
2010-10-20,2.95309
2010-10-21,2.99007
2010-10-22,3.02659
2010-10-23,3.04721
2010-10-24,3.05072
2010-10-25,3.06453
2010-10-26,3.09186
2010-10-27,3.12462
2010-10-28,3.16012
2010-10-29,3.19482
2010-10-30,3.20593
2010-10-31,3.20958
2010-11-01,3.21817
2010-11-02,3.22129
2010-11-03,3.22846
2010-11-04,3.23434
2010-11-05,3.25913
2010-11-06,3.26059
2010-11-07,3.28054
2010-11-08,3.29138
2010-11-09,3.39177
2010-11-10,3.39515
2010-11-11,3.39641
2010-11-12,3.38156
2010-11-13,3.38266
2010-11-14,3.38262
2010-11-15,3.38133
2010-11-16,3.43129
2010-11-17,3.50513
2010-11-18,3.50903
2010-11-19,3.51304
2010-11-20,3.5093
2010-11-21,3.53865
2010-11-22,3.56042
2010-11-23,3.562
2010-11-24,3.56471
2010-11-25,3.56604
2010-11-26,3.57023
2010-11-27,3.58165
2010-11-28,3.5798
2010-11-29,3.57843
2010-11-30,3.57795
2010-12-01,3.58408
2010-12-02,3.5866
2010-12-03,3.59183
2010-12-04,3.59063
2010-12-05,3.59575
2010-12-06,3.59062
2010-12-07,3.60107
2010-12-08,3.60989
2010-12-09,3.60704
2010-12-10,3.60861
2010-12-11,3.61109
2010-12-12,3.61592
2010-12-13,3.61965
2010-12-14,3.65365
2010-12-15,3.66207
2010-12-16,3.67632
2010-12-17,3.68706
2010-12-18,3.69344
2010-12-19,3.70493
2010-12-20,3.71772
2010-12-21,3.72905
2010-12-22,3.74201
2010-12-23,3.75334
2010-12-24,3.75985
2010-12-25,3.76724
2010-12-26,3.78262
2010-12-27,3.79099
2010-12-28,3.80298
2010-12-29,3.80843
2010-12-30,3.82395
2010-12-31,3.83032
2011-01-01,3.83558
2011-01-02,3.83962
